Brooklyn
1 WELLS STREET
10 MALCOM X BLVD
100 FERRIS ST
1011 HUDSON AVENUE
102 CUMBERLAND WALK
1039-1041 CONEY ISLAND AVENUE
104 LORIMER STREET
104-27 STREET
1048 85TH ST
1048 MANHATTAN AVE
105 NORTH 13TH STREET
105-02 AVENUE D
105-02 AVEUNE B
108 CHRISTOPHER AVE
109 MONTGOMERY ST
1092 ROGERS AVE
11 FRONT STREET
11 LORRAINE STREET
11 SPENCER ST
11 SPENCER ST
11 WEST ST
110 JAMAICA AVENUE
1-11 HUDSON AVE
1-11 HUDSON AVE
1-11 HUDSON AVENUE
11-15 SEABRING STREET
1124 EAST NEW YORK AVE
1134 WEST FARMS RD
1150 METROPOLITAN AVE
1151 LORING AVE
1151 LORING AVE
1151 LORING AVE
1171 86TH ST
1175 FLUSHING AVE
1175 FLUSHING AVE
1175 FLUSHING AVE
1181 FLUSHING AVE
120 UNION AVE
1202 MCDONALD AVE
12-18 WALWORTH ST
123 HOPE ST
1235 MACDONALD AVE
1238-1254  EAST 14TH STREET
126 FOSTER AVENUE
127 2ND AVE
127 2ND AVENUE
1274 MCDONALD AVE
1274 MCDONALD AVE
1274 MCDONALD AVE
1274 MCDONALD AVENUE
1274 MCDONALDS AVE
1274 MCDONOLD AVE
128 MAUJER STREET
130 ROCHESTER AVE
132 CLEVELAND STREET
133-135 BAYARD ST
1350 EAST 5 ST
1372 BEDFORD AVE
1397 RALPH AVENUE
140 STEWART AVE
140 VANDERBILT AVENUE
1401 EMMON AVE
1401 EMMON AVE
1450 atlantic ave
15 HURON STREET
15 SOMERS ST
150 50TH
1500 MCDONALD AVE
1511 EMMONS AVENUE
151-169 3 AVE
1514 BRONXDALE AVE
15-17 REWE ST
152 UNION AVE
1520 FULTON ST
1522 61ST ST
1525 86TH ST
1525 MYRTLE AVENUE
1525 MYRTLE AVENUE
1550 BEDFORD AVENUE
156-170 3RD AVENUE
160 HAMILTON AVENUE
160 HAMILTON AVENUE
160 HAMILTON AVENUE
1600 PARK PLACE
1601 ave j
1603 BROOKLYN AVE
1626 STILLWELL AVE
1632 EAST 18TH STREET
166 KINGS HWY
167 JOHNSON STREET
1672 86TH ST
169 3RD AVENUE
1693 60TH ST
1693 60TH ST
1701 GRAVESEND NECK ROAD
1702 AVENUE Z
