Brooklyn
1,1 ,WELLS STREET
10,10 ,MALCOM X BLVD
100,100 ,FERRIS ST
1011,1011 ,HUDSON AVENUE
102,102 ,CUMBERLAND WALK
1039-1041,1039-1041 ,CONEY ISLAND AVENUE
104,104 ,LORIMER STREET
104-27,104-27 ,STREET
104885,1048 85,TH ST
1048,1048 ,MANHATTAN AVE
105,105 ,NORTH 13TH STREET
105-02,105-02 ,AVENUE D
105-02,105-02 ,AVEUNE B
108,108 ,CHRISTOPHER AVE
109,109 ,MONTGOMERY ST
1092,1092 ,ROGERS AVE
11,11 ,FRONT STREET
11,11 ,LORRAINE STREET
11,11 ,SPENCER ST
11,11 ,SPENCER ST
11,11 ,WEST ST
110,110 ,JAMAICA AVENUE
1-11,1-11 ,HUDSON AVE
1-11,1-11 ,HUDSON AVE
1-11,1-11 ,HUDSON AVENUE
11-15,11-15 ,SEABRING STREET
1124,1124 ,EAST NEW YORK AVE
1134,1134 ,WEST FARMS RD
1150,1150 ,METROPOLITAN AVE
1151,1151 ,LORING AVE
1151,1151 ,LORING AVE
1151,1151 ,LORING AVE
117186,1171 86,TH ST
1175,1175 ,FLUSHING AVE
1175,1175 ,FLUSHING AVE
1175,1175 ,FLUSHING AVE
1181,1181 ,FLUSHING AVE
120,120 ,UNION AVE
1202,1202 ,MCDONALD AVE
12-18,12-18 ,WALWORTH ST
123,123 ,HOPE ST
1235,1235 ,MACDONALD AVE
1238-1254,1238-1254  ,EAST 14TH STREET
126,126 ,FOSTER AVENUE
1272,127 2,ND AVE
1272,127 2,ND AVENUE
1274,1274 ,MCDONALD AVE
1274,1274 ,MCDONALD AVE
1274,1274 ,MCDONALD AVE
1274,1274 ,MCDONALD AVENUE
1274,1274 ,MCDONALDS AVE
1274,1274 ,MCDONOLD AVE
128,128 ,MAUJER STREET
130,130 ,ROCHESTER AVE
132,132 ,CLEVELAND STREET
133-135,133-135 ,BAYARD ST
1350,1350 ,EAST 5 ST
1372,1372 ,BEDFORD AVE
1397,1397 ,RALPH AVENUE
140,140 ,STEWART AVE
140,140 ,VANDERBILT AVENUE
1401,1401 ,EMMON AVE
1401,1401 ,EMMON AVE
1450,1450 ,atlantic ave
15,15 ,HURON STREET
15,15 ,SOMERS ST
15050,150 50,TH
1500,1500 ,MCDONALD AVE
1511,1511 ,EMMONS AVENUE
151-1693,151-169 3 ,AVE
1514,1514 ,BRONXDALE AVE
15-17,15-17 ,REWE ST
152,152 ,UNION AVE
1520,1520 ,FULTON ST
152261,1522 61,ST ST
152586,1525 86,TH ST
1525,1525 ,MYRTLE AVENUE
1525,1525 ,MYRTLE AVENUE
1550,1550 ,BEDFORD AVENUE
156-1703,156-170 3,RD AVENUE
160,160 ,HAMILTON AVENUE
160,160 ,HAMILTON AVENUE
160,160 ,HAMILTON AVENUE
1600,1600 ,PARK PLACE
1601,1601 ,ave j
1603,1603 ,BROOKLYN AVE
1626,1626 ,STILLWELL AVE
1632,1632 ,EAST 18TH STREET
166,166 ,KINGS HWY
167,167 ,JOHNSON STREET
167286,1672 86,TH ST
1693,169 3,RD AVENUE
169360,1693 60,TH ST
169360,1693 60,TH ST
1701,1701 ,GRAVESEND NECK ROAD
1702,1702 ,AVENUE Z
1705-1739,1705-1739 ,HART PLACE/3068 CROPSEY AVE
172,172 ,TILLARY STREET
1740,1740 ,ATLANTIC AVENUE
1740,1740 ,ATLANTIC AVENUE
1755,1755 ,PACIFIC STREET
1755,1755 ,PACIFIC STREET
1755,1755 ,PACIFIC STREET
1755,1755 ,PACIFIC STREET
1760,1760 ,ATLANTIC AVE
1760,1760 ,FLATBUSH AVE
177,177 ,BAYARD STREET
1780,1780 ,CONEY ISLAND AVE
1781,1781 ,ATLANTIC AVENUE
1781,1781 ,BAY RIDGE PARKWAY
179,179 ,NICHOLS AVE
18,18 ,ST FELIX ST
180,180 ,POWELL STREET
1815,1815 ,OCEAN AVE
182,182 ,MONTROSE AVE
1820,1820 ,ALBANY AVE
185,185 ,VAN DYKE STREET
1868,1868 ,LINDEN BLVD
1868,1868 ,LINDEN BLVD
1868,1868 ,LINDEN BLVD
1899,1899 ,CORNELL AVE
19,19 ,WINTHROP ST
1902,1902 ,AVENUE U
191,191 ,UNION STREET
1916,1916 ,FLATBUSH AVE
193-10,193-10 ,PECK AVE
1935,1935 ,LINDEN BLVD
198,198 ,DOUGLASS ST
198,198 ,DOUGLASS ST
1981,1981 ,OCEAN AVENUE
1981,1981 ,OCEAN AVENUE
1981,1981 ,OCEAN AVENUE
2,2 ,INGRAHAM ST
2,2 ,INGRAHAM ST
20,20 ,OLD FULTON ST
200,200 ,MORGAN AVENUE
2001,2001 ,GRAVESEND NECK ROAD
2002,2002 ,AVENUE J
2012,2012 ,NEPTUNE AVE
2015,2015 ,SHORE PARKWAY
202,202 ,NORTH 10TH ST
204,204 ,WITHERS ST
204-2224,204-222 4,TH AVENUE
204-2224,204-222 4,TH AVENUE
206261,2062 61,ST ST
2063,2063 ,RALPH AVE
2063,2063 ,STILLWELL AVE
20725,207 25,TH STREET
207,207 ,NORTH 8TH STREET
2111,2111 ,ATLANTIC AVE
214,214 ,KENT AVENUE
2170,2170 ,MILL AVE
2171,2171 ,COYLE ST
218,218 ,HAMILTON AVE
219,219 ,SULLIVAN ST
219,219 ,SULLIVAN STREET
221,221 ,VANBUREN ST
222,222 ,EAST 17 ST
22-362,22-36 2,ND AVE
224,224 ,ATLANTIC AVE
225,225 ,THIRD STREET
228,228 ,EAST 38TH ST
2285,2285 ,FLATBUSH AVENUE
229,229 ,EAST 94TH STREET
236,236 ,MOORE STREET
24,24 ,OAK ST
24,24 ,STONE AVENUE
242-288,242-288 ,LIVONIA AVE
2424,2424 ,BATCHELDER ST
2424,2424 ,VATCHELDER ST
2449,2449 ,HARWAY AVE
2449,2449 ,HARWAY AVE
247,247 ,WILLIAMS AVE
247,247 ,WILLIAMS ST
247,247 ,WILLIAMS ST
247,247 ,WILLIAMS ST
247,247 ,WILLIAMS STREET
25,25 ,JAMAICA AVE
25,25 ,JAMAICA AVENUE
25,25 ,JAMAICA AVENUE
25,25 ,MONUMENT WALK
250,250 ,EMPIRE BLVD
250,250 ,EMPIRE BLVD
250,250 ,EMPIRE BLVD
250,250 ,PARKVILLE AVE
2502,2502 ,TILDEN AVE
252,252 ,ATLANTIC AVENUE
