ManHATTAN
"#7,"#7 ,LINE, TRACK C2, COL 57"
"#7,"#7 ,LINE, TRACK C2, COL 57"
1,1 ,AVENUE  &  EAST 42 STREET
1,1 ,KEENER BUILDING
1,1 ,SCHWARTZ BUILDING
10,10 ,WEST 18TH ST
10,10 ,WEST 9TH ST
101,101 ,BARCLAY ST
103-107,103-107 ,WEST 108TH ST
108,108 ,E 29TH ST
11,11 ,MADISON AVE
110,110 ,BENNETT AVE
11095,1109 5,th ave
111,111 ,LEROY STREET
111,111 ,VARICK STREET
11-15,11-15 ,Leonard St
112,112 ,WEST 25TH STREET
115,115 ,CHRYSTIE STREET
115,115 ,WEST 106TH ST
115,115,TH /116TH ST  BROADWAY
116,116 ,AVE C
118,118 ,E 59TH ST
1185,1185 ,BROADWAY
11,11,TH AVE & W 29TH ST
11,11,TH AVE & W 49TH ST
11,11,TH AVE & W 49TH ST
11,11,TH AVE AND WEST 24TH ST
11,11,TH AVE BTWN 30/31 STREETS
120,120 ,EAST 119TH STREET
120,120 ,EAST 119TH STREET
120,120 ,WALL ST
121,121 ,VARICK STREET
121-131,121-131 ,BENNETT AVENUE
124,124 ,EAST 125TH ST
124,124 ,WEST 39 STREET
1249,1249 ,PARK AVE
125,125 ,WEST 97TH STREET
127,127 ,HARLEM RIVER DR
128,128 ,WEST END AVE
128,128 ,WEST END AVE
128,128 ,WEST END AVE
128,128 ,WESTEND AVE
129,129 ,WADSWORTH AVE
12,12,TH AVE & 57TH ST
12,12,TH AVE BET 40TH-42ND ST
134,134 ,MADISON STREET
135,135 ,AMSTERDAM AVE
135,135 ,AMSTERDAM AVE
135,135 ,DELANCEY ST
136,136 ,EAST 36TH ST
13675,1367 5,TH AVENUE
137-3091,137-30 91,ST AVE
138,138 ,WEST 127 TH ST
13,13,TH ST & AVENUE D
13,13,TH ST AND AVE C
1405,1405 ,PARK AVE
140-526,140-52 6,TH AVE
140-526,140-52 6,TH AVE
1412,141 2,ND AVE
141,141 ,WEST 119TH ST
144,144 ,EAST 36TH ST
1441,1441 ,BROADWAY
1452,145 2,ND AVE
145,145 ,WEST 67TH STREET
145,145,TH STREET
146-150,146-150 ,WOOSTER STREET
1477,147 7 ,AVE
1477,147 7 ,AVE
1477,147 7,TH AVE
147,147 ,AND 7 AVE
147,147 ,SEVENTH AVE
148,148 ,BARROW STREET
148,148 ,W23RD ST
1485,1485 ,PARK AVENUE
14,14,TH ST & AVE D.    EAST 13 ST S/S
14,14,TH ST AND AVE C
14,14,TH ST E/O AVE C
14,14,TH STREET
14,14,TH STREET / AVENUE C
14,14,TH STREET / AVENUE C
14,14,TH STREET/AVE C
15,15 ,ST AND AVE C
150,150 ,EAST 37 ST
150,150 ,RIVERSIDE DRIVE
151-159,151-159 ,WEST 108 ST
156-168,156-168 ,NAGLE AVE
15,15,TH ST / AVENUE C
15,15,TH ST AND AVE C
16,16 ,STREET AND AVENUE C
160,160 ,CABRINI
161,161,ST BETWEEN BROADWAY AND AMSTERDAM
163,163 ,EAST 74TH ST
164,164 ,CROSBY ST
165,165 ,EAST 74TH ST.
165,165,th & riverside dr
166,166 ,EAST 63 ST
166,166 ,EAST 63RD ST
166,166 ,EAST 96TH ST
1674,1674 ,BROADWAY
16763,1676 3,RD AVE
17,17 ,BATTERY PLACE
