Spill Number,Program Facility Name,Street 1,Street 2,Locality,County,Real Address,BBL,X coordinate,y coordinate
10574,GRAND CENTRAL STATION -NYCT,"#7 LINE, TRACK C2, COL 57",STEINWAY TUBE,MANHATTAN,New York,,,,
10574,GRAND CENTRAL STATION -NYCT,"#7 LINE, TRACK C2, COL 57",STEINWAY TUBE,MANHATTAN,New York,,,,
608602,MANHOLE 56738,1 AVENUE  &  EAST 42 STREET,,MANHATTAN,New York,,,,
109068,HOUSING - 1 BEACH 105TH ST,1 BEACH 105TH ST,,FAR ROCKAWAY,Queens,,,,
1309195,CHARLES H GAY SHELTER,1 KEENER BUILDING,1 SCHWARTZ BUILDING,WARDS ISLAND,New York,,,,
1108129,HOMELES SHELTER,1 SCHWARTZ BUILDING,1 KEENER BUILDING,WARDS ISLAND,New York,,,,
1301729,TTF AT TRANSIT HIGH SCHOOL,1 WELLS STREET,,BROOKLYN,Kings,,,,
612492,2 DIFFERENT GETTY STATIONS - MISC,10 MALCOM X BLVD, ,BROOKLYN,Kings,8 Malcom X Boulevard,K/1599/40,,
110770,WEST GRAMERCY ASSOCIATES,10 WEST 18TH ST,,MANHATTAN,New York,,,,
1802883,COMMERCIAL,10 WEST 9TH ST,,MANHATTAN,New York,,,,
1500740,COMM SITE,100 FERRIS ST,,BROOKLYN,Kings,,,,
1511702,COMMERCIAL,100 RIVER RD,,STATEN ISLAND,Richmond,,,,
1600759,CONSTRUCTION,100 RIVER ROAD,,STANTON ISLAND,Richmond,,,,
1511769,GROUND WATER,100 RIVER ROAD,,ST ISLAND,Richmond,,,,
1402546,1000 COMMERCE AVE.,1000 COMMERCE AVE.,,BRONX,Bronx,,,,
1409412,BP/GETTY GAS 225,100-17 BEACH CHANNEL DRIVE,,ROCKAWAY BEACH,Queens,,,,
1306440,BANK OF NY MELLON,101 BARCLAY ST,,MANHATTAN,New York,,,,
1509442,UNKNOWN BUSINESS - OER,101 LINCOLN AVE,,BRONX,Bronx,,,,
1114325,ST VINCENTS CATHOLIC MEDICAL CENTER,101 TOMPKINS AVE,,STATEN ISLAND,Richmond,,,,
9303328,1-11 HUDSON AVE,1011 HUDSON AVENUE,,BROOKLYN,Kings,,,,
9515050,WHITMAN HOUSING -NYCHA,102 CUMBERLAND WALK,287 MYRTLE AVENUE (MANGMT OFFICE),BROOKLYN,Kings,,,,
1802114,RYDER RENTAL PARKING LOT,10-20 44RD,,LONG ISLAND CITY,Queens,,,,
9712701,COMMER.PROPERTY - RYDER TRUCK,10-20 44TH RD,,LONG ISLAND CITY,Queens,,,,
9712701,COMMER.PROPERTY - RYDER TRUCK,10-20 44TH RD,,LONG ISLAND CITY,Queens,,,,
9712701,COMMER.PROPERTY - RYDER TRUCK,10-20 44TH RD,,LONG ISLAND CITY,Queens,,,,
1301574,UNDERGROUND TANK - TTF,102-32 65TH AVE, ,QUEENS,Queens,,,,
406005,SERVICE STATION,1029 WASHINGTON,1011 WASHINGTON/165TH STR,BRONX,Bronx,,,,
406005,SERVICE STATION,1029 WASHINGTON,1011 WASHINGTON/165TH STR,BRONX,Bronx,,,,
1801369,RESIDENTIAL,103 BAY TERRACE,,STATEN ISLAND,Richmond,,,,
1603667,NYC HOUSING AUTH - PHASE II,103-107 WEST 108TH ST,,NEW YORK,New York,,,,
809290,FORMER GULF STATION/ E - DESIGNATION,1039-1041 CONEY ISLAND AVENUE,,BROOKLYN,Kings,,,,
402829,RESIDENCE,104 LORIMER STREET,AKA: 85 UNION AVE,BROOKLYN,Kings,,,,
810036,STUYVESANT FUEL TERMINAL,1040 EAST 149TH ST,,BRONX,Bronx,,,,
1709045,RESIDENTIAL,104-04 ROCKAWAY BLVD,,OZONE PARK,Queens,,,,
308367,AGUANA SUBSTATION,104-27 STREET,,BROOKLYN,Kings,,,,
1607267,RESIDENCE,1048 85TH ST,,BROOKLYN,Kings,,,,
1800735,BASEMENT,1048 MANHATTAN AVE,,BROOKLYN,Kings,,,,
